"site" "replicate" "location" "wavenumber" "intensity" "id"
"149" "Beach" "01" "Inside" 3694.98846 1.0048 1
"150" "Beach" "01" "Inside" 3692.94928 1.0046 1
"151" "Beach" "01" "Inside" 3690.9101 1.00486 1
"152" "Beach" "01" "Inside" 3688.87093 1.00556 1
"153" "Beach" "01" "Inside" 3686.83175 1.00612 1
"154" "Beach" "01" "Inside" 3684.79257 1.00606 1
"155" "Beach" "01" "Inside" 3682.7534 1.00563 1
"156" "Beach" "01" "Inside" 3680.71422 1.00517 1
"157" "Beach" "01" "Inside" 3678.67504 1.00476 1
"158" "Beach" "01" "Inside" 3676.63587 1.00478 1
"159" "Beach" "01" "Inside" 3674.59669 1.00554 1
"160" "Beach" "01" "Inside" 3672.55751 1.00616 1
"161" "Beach" "01" "Inside" 3670.51834 1.00642 1
"162" "Beach" "01" "Inside" 3668.47916 1.00656 1
"163" "Beach" "01" "Inside" 3666.43998 1.00616 1
"164" "Beach" "01" "Inside" 3664.4008 1.00545 1
"165" "Beach" "01" "Inside" 3662.36163 1.00512 1
"166" "Beach" "01" "Inside" 3660.32245 1.00523 1
"167" "Beach" "01" "Inside" 3658.28327 1.00542 1
"168" "Beach" "01" "Inside" 3656.2441 1.00549 1
"169" "Beach" "01" "Inside" 3654.20492 1.00518 1
"170" "Beach" "01" "Inside" 3652.16574 1.00466 1
"171" "Beach" "01" "Inside" 3650.12657 1.00488 1
"172" "Beach" "01" "Inside" 3648.08739 1.00596 1
"173" "Beach" "01" "Inside" 3646.04821 1.00648 1
"174" "Beach" "01" "Inside" 3644.00904 1.00599 1
"175" "Beach" "01" "Inside" 3641.96986 1.00538 1
"176" "Beach" "01" "Inside" 3639.93068 1.00507 1
"177" "Beach" "01" "Inside" 3637.89151 1.00487 1
"178" "Beach" "01" "Inside" 3635.85233 1.00475 1
"179" "Beach" "01" "Inside" 3633.81315 1.00474 1
"180" "Beach" "01" "Inside" 3631.77398 1.00462 1
"181" "Beach" "01" "Inside" 3629.7348 1.0044 1
"182" "Beach" "01" "Inside" 3627.69562 1.00419 1
"183" "Beach" "01" "Inside" 3625.65644 1.00378 1
"184" "Beach" "01" "Inside" 3623.61727 1.00327 1
"185" "Beach" "01" "Inside" 3621.57809 1.00322 1
"186" "Beach" "01" "Inside" 3619.53891 1.00375 1
"187" "Beach" "01" "Inside" 3617.49974 1.00424 1
"188" "Beach" "01" "Inside" 3615.46056 1.00435 1
"189" "Beach" "01" "Inside" 3613.42138 1.00434 1
"190" "Beach" "01" "Inside" 3611.38221 1.00426 1
"191" "Beach" "01" "Inside" 3609.34303 1.00425 1
"192" "Beach" "01" "Inside" 3607.30385 1.00427 1
"193" "Beach" "01" "Inside" 3605.26468 1.0039 1
"194" "Beach" "01" "Inside" 3603.2255 1.00336 1
"195" "Beach" "01" "Inside" 3601.18632 1.00323 1
"196" "Beach" "01" "Inside" 3599.14715 1.00335 1
"197" "Beach" "01" "Inside" 3597.10797 1.00331 1
"198" "Beach" "01" "Inside" 3595.06879 1.00324 1
"199" "Beach" "01" "Inside" 3593.02962 1.00323 1
"200" "Beach" "01" "Inside" 3590.99044 1.00304 1
"201" "Beach" "01" "Inside" 3588.95126 1.00309 1
"202" "Beach" "01" "Inside" 3586.91208 1.00373 1
"203" "Beach" "01" "Inside" 3584.87291 1.00405 1
"204" "Beach" "01" "Inside" 3582.83373 1.00365 1
"205" "Beach" "01" "Inside" 3580.79455 1.00327 1
"206" "Beach" "01" "Inside" 3578.75538 1.0032 1
"207" "Beach" "01" "Inside" 3576.7162 1.00309 1
"208" "Beach" "01" "Inside" 3574.67702 1.0028 1
"209" "Beach" "01" "Inside" 3572.63785 1.00246 1
"210" "Beach" "01" "Inside" 3570.59867 1.00233 1
"211" "Beach" "01" "Inside" 3568.55949 1.00271 1
"212" "Beach" "01" "Inside" 3566.52032 1.00341 1
"213" "Beach" "01" "Inside" 3564.48114 1.00354 1
"214" "Beach" "01" "Inside" 3562.44196 1.00294 1
"215" "Beach" "01" "Inside" 3560.40279 1.00227 1
"216" "Beach" "01" "Inside" 3558.36361 1.00181 1
"217" "Beach" "01" "Inside" 3556.32443 1.00152 1
"218" "Beach" "01" "Inside" 3554.28525 1.00145 1
"219" "Beach" "01" "Inside" 3552.24608 1.00159 1
"220" "Beach" "01" "Inside" 3550.2069 1.00172 1
"221" "Beach" "01" "Inside" 3548.16772 1.00172 1
"222" "Beach" "01" "Inside" 3546.12855 1.0016 1
"223" "Beach" "01" "Inside" 3544.08937 1.00149 1
"224" "Beach" "01" "Inside" 3542.05019 1.00153 1
"225" "Beach" "01" "Inside" 3540.01102 1.00146 1
"226" "Beach" "01" "Inside" 3537.97184 1.00106 1
"227" "Beach" "01" "Inside" 3535.93266 1.00065 1
"228" "Beach" "01" "Inside" 3533.89349 1.00051 1
"229" "Beach" "01" "Inside" 3531.85431 1.00047 1
"230" "Beach" "01" "Inside" 3529.81513 1.00027 1
"231" "Beach" "01" "Inside" 3527.77596 1.00004 1
"232" "Beach" "01" "Inside" 3525.73678 1.00009 1
"233" "Beach" "01" "Inside" 3523.6976 1.00043 1
"234" "Beach" "01" "Inside" 3521.65843 1.00065 1
"235" "Beach" "01" "Inside" 3519.61925 1.00048 1
"236" "Beach" "01" "Inside" 3517.58007 1.00019 1
"237" "Beach" "01" "Inside" 3515.54089 0.99987 1
"238" "Beach" "01" "Inside" 3513.50172 0.99944 1
"239" "Beach" "01" "Inside" 3511.46254 0.99924 1
"240" "Beach" "01" "Inside" 3509.42336 0.99952 1
"241" "Beach" "01" "Inside" 3507.38419 0.99982 1
"242" "Beach" "01" "Inside" 3505.34501 0.99969 1
"243" "Beach" "01" "Inside" 3503.30583 0.99937 1
"244" "Beach" "01" "Inside" 3501.26666 0.99924 1
"245" "Beach" "01" "Inside" 3499.22748 0.99915 1
"246" "Beach" "01" "Inside" 3497.1883 0.99891 1
"247" "Beach" "01" "Inside" 3495.14913 0.99878 1
"248" "Beach" "01" "Inside" 3493.10995 0.9989 1
"249" "Beach" "01" "Inside" 3491.07077 0.99892 1
"250" "Beach" "01" "Inside" 3489.0316 0.99869 1
"251" "Beach" "01" "Inside" 3486.99242 0.99836 1
"252" "Beach" "01" "Inside" 3484.95324 0.99814 1
"253" "Beach" "01" "Inside" 3482.91407 0.99821 1
"254" "Beach" "01" "Inside" 3480.87489 0.9985 1
"255" "Beach" "01" "Inside" 3478.83571 0.99872 1
"256" "Beach" "01" "Inside" 3476.79653 0.99879 1
"257" "Beach" "01" "Inside" 3474.75736 0.99862 1
"258" "Beach" "01" "Inside" 3472.71818 0.99813 1
"259" "Beach" "01" "Inside" 3470.679 0.9976 1
"260" "Beach" "01" "Inside" 3468.63983 0.99736 1
"261" "Beach" "01" "Inside" 3466.60065 0.99734 1
"262" "Beach" "01" "Inside" 3464.56147 0.9973 1
"263" "Beach" "01" "Inside" 3462.5223 0.99718 1
"264" "Beach" "01" "Inside" 3460.48312 0.99705 1
"265" "Beach" "01" "Inside" 3458.44394 0.99711 1
"266" "Beach" "01" "Inside" 3456.40477 0.99728 1
"267" "Beach" "01" "Inside" 3454.36559 0.9973 1
"268" "Beach" "01" "Inside" 3452.32641 0.99716 1
"269" "Beach" "01" "Inside" 3450.28724 0.99693 1
"270" "Beach" "01" "Inside" 3448.24806 0.99681 1
"271" "Beach" "01" "Inside" 3446.20888 0.99681 1
"272" "Beach" "01" "Inside" 3444.1697 0.99659 1
"273" "Beach" "01" "Inside" 3442.13053 0.99644 1
"274" "Beach" "01" "Inside" 3440.09135 0.99665 1
